vacancy_id,section_id,section_title,section_body
38802856,3,2 проработать архитектура dwh etl,актуальный схема внутренний слой DWH
38802856,3,2 проработать архитектура dwh etl,правило создание наименование объект бд
38802856,3,2 проработать архитектура dwh etl,ет TL процесс писать соответствие общий шаблон
38802856,4,3 использовать технология,основной часть хранилищ SQL Server
38802856,4,3 использовать технология,репликация витрина Vertica
38802856,4,3 использовать технология,SSIS оркестратор etl процесс
38802856,4,3 использовать технология,использование очередь RabbitMQ брокер сообщение Kafka
38802856,4,3 использовать технология,Python работа очередь сервис
38802856,5,4 свежий софт,использовать SQL Server 2017 включая SSIS планировать перейти 2019
38802856,5,4 свежий софт,Vertica обновить 9.2
38802856,5,4 свежий софт,любить новый технология стараться использовать это возможно мешать стабильность наш
38802856,6,требование,аналогичный опыт разработка ETL процесс 2 х год
38802856,6,требование,понимание технология база данные специфика Микрософт SQL Server
38802856,6,требование,хороший знание язык T SQL
38802856,6,требование,базовый знание ооп
38802856,6,требование,базовый знание Python опыт разработка язык C# Java
38802856,6,требование,способность оценивать предлагать технический решение
38802856,6,требование,навык работа команда гибкий методология ведение проект
38802856,7,обязанность,участие разработка корпоративный DWH
38802856,7,обязанность,выстраивание процесс взаимодействие различный интерфейс компания MS SQL Oracle PostgreSQL
38802856,7,обязанность,проектирование разработка новый доработка существовать витрина данные
38802856,7,обязанность,разработка ETL процедура T SQL Python SSIS
38802856,7,обязанность,поддержка доработка компонент корпоративный хранилищ данные MS SQL 2017 Vertica
38802856,7,обязанность,участие задача анализ система источник составление модель данные
38802856,8,условие,месторасположение офис метро автозаводский бизнес центр симон плаза 7 минута
38802856,8,условие,высокий уровень оплата труд обсуждать индивидуально успешный кандидат
38802856,8,условие,оформление тк рф отпуск больничный соцпакет
38802856,8,условие,профессиональный коллектив возможность развитие
39005825,0,обязанность,участие предпроектный обследование
39005825,0,обязанность,разработка проектный решение написание проектный документация установка настройка исб
39005825,0,обязанность,интеграция йоктосекунда различный источник данные
39005825,0,обязанность,участие приемой сдаточный испытание информационный система
39005825,1,требование,теоретический знание практический опыт проектирование администрирование сложный программно аппаратный комплекс
39005825,1,требование,опыт администрирование Unix Linux опыт работа оса Windows Server
39005825,1,требование,знание технология сбор данные NiFi Logstash Sqoop др. хранение обработка
39005825,1,требование,умение проектирование внедрение высоконагруженный система база данные решение
39005825,1,требование,знание технология контейнеризация Docker
39005825,1,требование,опыт область сетевой технология
39005825,1,требование,опыт работа субд написание SQL запрос Python bash powershell JavaScript
36535379,0,,работа Admitad это работа международный компания наш команда это единомышленник
36535379,0,,нужный системный инженер усиление московский DevOps команда хотеть поддержка наш
36535379,1,ждеть кандидат,знание Linux уровень администратор система
36535379,1,ждеть кандидат,понимание работа сеть IP DNS DHCP
36535379,1,ждеть кандидат,навык написание скрипт bash python
36535379,1,ждеть кандидат,опыт работа Ansible
36535379,1,ждеть кандидат,опыт администрирование бд mysql postgresql
36535379,1,ждеть кандидат,опыт администрирование эксплуатация система мониторинг zabbix prometheus
36535379,1,ждеть кандидат,опыт настройка администрирование nginx
36535379,1,ждеть кандидат,опыт работа виртуализация контейнеризация KVMLXC LXDDocker
36535379,1,ждеть кандидат,понимание базовый принцип безопасность Linux система
36535379,2,приветствоваться,опыт администрирование веб сервер gunicorn uwsgi mod_wsgi
